epoch,loss,val_loss
0,1.9430831670761108,0.5373119711875916
1,0.8203850984573364,0.5180913209915161
2,0.5013840198516846,0.2502330243587494
3,0.47383517026901245,0.2851756513118744
4,0.3231312930583954,0.33957868814468384
5,0.28173476457595825,0.17407023906707764
6,0.22886061668395996,0.17985926568508148
7,0.20256006717681885,0.27692893147468567
8,0.19983649253845215,0.28673431277275085
9,0.1837291270494461,0.28931060433387756
10,0.16733479499816895,0.29010698199272156
11,0.15748192369937897,0.3690277338027954
12,0.15447089076042175,0.24352997541427612
13,0.15553686022758484,0.1440359652042389
14,0.17550544440746307,0.15584227442741394
15,0.13214322924613953,0.21564467251300812
16,0.15103253722190857,0.14089319109916687
17,0.1379440426826477,0.12153449654579163
18,0.14167407155036926,0.12057078629732132
19,0.13542024791240692,0.125407874584198
20,0.13989607989788055,0.11011792719364166
21,0.12342029809951782,0.1002117320895195
22,0.12463394552469254,0.08786208182573318
23,0.10286065191030502,0.07407742738723755
24,0.1351333111524582,0.054394762963056564
25,0.12147378921508789,0.0571417510509491
26,0.11137257516384125,0.08638180792331696
27,0.10531961917877197,0.07439325004816055
28,0.08884860575199127,0.06998793035745621
29,0.11917070299386978,0.08393776416778564
